"Doc.ID","Text","Reference","Length"
110,"""A little sea-bathing would set me up forever.""","0mIZL",47
111,"","0mIZL",0
112,"by all means. My good qualities are under your protection, and you are","Q3Mja",70
113,"clergyman; and it affected them in no other way than as a piece of news","0mIZL",71
114,"Elizabeth could not help smiling at his easy manner of directing his","gWh3Y",68
115,"","0mIZL",0
116,"estimation. You will not, I hope, consider me as showing any disrespect","PIG03",71
117,"three straws about her--who could about such a nasty little freckled","pD0Qu",68
118,"reproof, so well applied, I shall never forget: 'had you behaved in a","gWh3Y",69
119,"been very imprudent, and has deserved to lose Mr. Darcy's regard.""","TGzfh",66
120,"""Oh! but their removing from the chaise into a hackney coach is such","Q3Mja",68
121,"""Your list of the common extent of accomplishments,"" said Darcy, ""has","8B3RV",69
122,"They were confined for the evening at different tables, and she had","5d23N",67
123,"silence.","pD0Qu",8
124,"Elizabeth's seeming really, with vexed and embarrassed looks, about to","yQdWV",70
125,"","gWh3Y",0
126,"spot.","Q3Mja",5
127,"kept her place at the table; but Elizabeth, to satisfy her mother, went","yQdWV",71
128,"opened his lips. The easy assurance of the young couple, indeed, was","TGzfh",68
129,"the polite inquiries which he directly afterwards approached to make.","PIG03",69
130,"""Will you give me leave to defer your raptures till I write again? At","Q3Mja",69
131,"""To oblige you, I would try to believe almost anything, but no one else","nyEWd",71
132,"","PIG03",0
133,"The whole party were in hopes of a letter from Mr. Bennet the next","PIG03",66
134,"","0mIZL",0
135,"gentlemen from the house, was engaged by the river, and had left him","PIG03",68
136,"""Yes; and I told him we should not be able to keep our engagement.","gWh3Y",66
137,"Mr. Bennet was not imagined to be very rich, he would have been able","pD0Qu",68
138,"is my favourite; but I think I shall like _your_ husband quite as well","0mIZL",70
139,"in Mrs. Gardiner, who, fatigued by the exercise of the morning, found","gWh3Y",69
140,"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do","5d23N",69
141,"""That you were gone into the army, and she was afraid had--not turned","gWh3Y",69
142,"""I shall not say you are mistaken,"" he replied, ""because you could not","yQdWV",70
143,"","nyEWd",0
144,"She explained what its effect on her had been, and how gradually all her","pD0Qu",72
145,"She is almost three-and-twenty! Lord, how ashamed I should be of not","pD0Qu",68
146,"Elizabeth to the enjoyment of all her former dislike.","TGzfh",53
147,"situation, and return to her friends as soon as they could be prevailed","0mIZL",71
148,"wishes, however openly or artfully spoken, could influence a young man","TGzfh",70
149,"sound of Lady Catherine's carriage made her feel how unequal she was to","PIG03",71
150,"had just gained the pavement when the two gentlemen, turning back, had","TGzfh",70
151,"therefore, abruptly changing the conversation talked on indifferent","TGzfh",67
152,"by honour nor inclination confined to his cousin, why is not he to make","TGzfh",71
153,"""Well, then, you need not be under any alarm. I will take care of","8B3RV",65
154,"Carter do not go so often to Miss Watson's as they did when they first","TGzfh",70
155,"county there was enough to be seen to occupy the chief of their three","Q3Mja",69
156,"own, would be speedily secured. Though she dared not depend upon the","PIG03",68
157,"It is not quite a week since they left Brighton. In a few days more we","5d23N",70
158,"continued, with little intermission, to the very day of Lydia's leaving","PIG03",71
159,"with astonishment and disdain, ""I wonder you took the trouble of coming","0mIZL",71
160,"daughters, could ask on the subject, was sufficient to draw from her","yQdWV",68
161,"","yQdWV",0
162,"affection, you make everybody acting unnaturally and wrong, and me most","Q3Mja",71
163,"my absence may not be long enough to render it necessary, I shall now","8B3RV",69
164,"Collins's side and as many bows on Sir William's they departed. As soon","nyEWd",71
165,"woman whose weak understanding and illiberal mind had very early in","gWh3Y",67
166,"his father was--have done this. Not to appear to disgrace his family,","8B3RV",69
167,"Every day at Longbourn was now a day of anxiety; but the most anxious","TGzfh",69
168,"weeks; and to Mrs. Gardiner it had a peculiarly strong attraction. The","pD0Qu",70
169,"together in the shrubbery behind the house, they saw the housekeeper","PIG03",68
170,"to fall into it! No, Lizzy, let me once in my life feel how much I have","8B3RV",71
171,"good health, and in as tolerable spirits as could be expected, after the","8B3RV",72
172,"continued after a pause, on seeing Bingley join the group; ""and I doubt","pD0Qu",71
173,"was all done very well. She had also to anticipate how her visit","yQdWV",64
174,"ought not to have appeared; but consider how much it must increase his","TGzfh",70
175,"Chapter 59","8B3RV",10
176,"was almost equal to what she had known on first witnessing his altered","yQdWV",70
177,"_not_ a great reader, and I have pleasure in many things.""","PIG03",58
178,"time much better. No one admitted to the privilege of hearing you can","nyEWd",69
179,"","gWh3Y",0
180,"","Q3Mja",0
181,"","nyEWd",0
182,"all means to refuse him.""","yQdWV",25
183,"","nyEWd",0
184,"","nyEWd",0
185,"regard during my stay in Hertfordshire. As for my fair cousins, though","gWh3Y",70
186,"The rest of the evening brought her little amusement. She was teased by","PIG03",71
187,"business. Never, since reading Jane's second letter, had she entertained","Q3Mja",72
188,"privilege of universal good-will. You need not. There are few people","yQdWV",68
189,"","nyEWd",0
190,"power to dance with others. In vain did she entreat him to stand up with","yQdWV",72
191,"Between Elizabeth and Charlotte there was a restraint which kept them","gWh3Y",69
192,"""MY DEAR BROTHER,","5d23N",17
193,"","yQdWV",0
194,"two girls had the honour of assisting Mrs. Jenkinson to make up her","8B3RV",67
195,"would not have put up with it. Well, my comfort is, I am sure Jane will","8B3RV",71
196,"""Your ladyship has declared it to be impossible.""","TGzfh",49
197,"prove a valuable acquaintance, especially if Lady Catherine should be so","Q3Mja",72
198,"""Come, Darcy,"" said he, ""I must have you dance. I hate to see you","yQdWV",65
199,"of marriage, she had no difficulty in believing that neither her virtue","PIG03",71
200,"shame at her eloping and living with Wickham a fortnight before they","5d23N",68
201,"at his word, as he might change his mind another day, and warn me off","nyEWd",69
202,"","pD0Qu",0
203,"told her to write to him, and almost promised to answer her letter.","nyEWd",67
204,"presently answered the question in a tolerably detached tone. While","pD0Qu",67
205,"","pD0Qu",0
206,"most trust should comprehend all her fears and solicitude on the","yQdWV",64
207,"""I mention it, because it is the living which I ought to have had. A","yQdWV",68
208,"each, like Elizabeth, meant to dance half the evening with Mr. Wickham,","yQdWV",71
209,"""And of this place,"" thought she, ""I might have been mistress! With","Q3Mja",67
210,"had been compromised accordingly.""","nyEWd",34
211,"","Q3Mja",0
212,"of the officers' wives, and Elizabeth continued her walk alone, crossing","PIG03",72
213,"a tour of pleasure which they proposed taking in the summer.","PIG03",60
214,"""And till Colonel Forster came himself, not one of you entertained a","nyEWd",68
215,"They all exclaimed against such terrific ideas; and Mr. Gardiner, after","8B3RV",71
216,"not before believed him quite equal to such assurance; but she sat down,","gWh3Y",72
217,"him still more; and Elizabeth was reminded by her own satisfaction in","pD0Qu",69
218,"but allow that Mr. Bingley, when questioned by Jane, had long ago","8B3RV",65
219,"And with these words he hastily left the room, and Elizabeth heard him","TGzfh",70
220,"Chapter 55","gWh3Y",10
221,"collected in one individual. Nor was Darcy's vindication, though","TGzfh",64
222,"words of four syllables. Do not you, Darcy?""","PIG03",44
223,"Her daughters listened in silence to this effusion, sensible that","5d23N",65
224,"my life as I have this evening; and there are several of them you see","pD0Qu",69
225,"Elizabeth, till catching her eye, he withdrew his own and coldly said:","PIG03",70
226,"too little of one's neighbours. Assistance is impossible; condolence","Q3Mja",68
227,"think we shall have quite money enough to live upon without some help.","TGzfh",70
228,"false, you will, I hope, acquit me henceforth of cruelty towards Mr.","0mIZL",68
229,"herself; and yet it would seem, by her manner of talking, as if she","nyEWd",67
230,"""Perhaps it would have been better,"" replied her sister. ""But to expose","yQdWV",71
231,"interest_ in the affair.","Q3Mja",24
232,"""Aye--that is because you have the right disposition. But that","Q3Mja",62
233,"give him leave, would take an early opportunity of waiting on them.","TGzfh",67
234,"she could witness without trepidation.","yQdWV",38
235,"experienced from Lady Catherine. She had been graciously pleased to","Q3Mja",67
236,"","5d23N",0
237,"said not a word. After a silence of several minutes, he came towards her","0mIZL",72
238,"them as handsome and amiable as they were represented by common report.","pD0Qu",71
239,"who do not cherish a feeling of self-complacency on the score of some","8B3RV",69
240,"noticed every sentence conveying the idea of uneasiness, with an","8B3RV",64
241,"a large party of friends."" How rejoiced was Elizabeth that their own","nyEWd",68
242,"know that what I have to relate will give such pleasure to all my dear","5d23N",70
243,"","TGzfh",0
244,"could not think without anger, hardly without contempt, on that easiness","8B3RV",72
245,"extreme. She did not fear her father's opposition, but he was going to","pD0Qu",70
246,"for her, he chose to elope with her at all, had she not felt certain","8B3RV",68
247,"""Of whom does Jane ever think ill? And who is there, whatever might be","gWh3Y",70
248,"The evening passed quietly, unmarked by anything extraordinary. The","0mIZL",67
249,"Hertfordshire. Be assured, my dear sir, that Mrs. Collins and myself","0mIZL",68
250,"she dared to hope that so much love and eloquence awaited her there.","0mIZL",68
251,"to matrimony, in a moment. I knew you would be wishing me joy.""","yQdWV",63
252,"family! how shall I bear so much happiness!""","gWh3Y",44
253,"gentleman,"" looking at Darcy, ""seemed to think the country was nothing","8B3RV",70
254,"""In vain I have struggled. It will not do. My feelings will not be","yQdWV",66
255,"one. I always say that nothing is to be done in education without steady","gWh3Y",72
256,"civil also, and say what the occasion required. She performed her part","8B3RV",70
257,"be quarrelsome, discontented, or too poor, she sallied forth into the","5d23N",69
258,"cambric, and would shortly have dictated some very plentiful orders, had","nyEWd",72
259,"","pD0Qu",0
260,"good conduct, I am sure. You must not disappoint your father.""","Q3Mja",62
261,"demand it of your justice.","0mIZL",26
262,"was extremely agreeable to _her_. Elizabeth, however, did not choose","5d23N",68
263,"","nyEWd",0
264,"","pD0Qu",0
265,"had the opportunity of obliging her in turn, by sitting down to whist.","Q3Mja",70
266,"marry as soon as he could, provided he chose with discretion; and had","yQdWV",69
267,"""Oh! Single, my dear, to be sure! A single man of large fortune; four or","gWh3Y",72
268,"passed off much better than she expected; for Mrs. Bennet luckily stood","8B3RV",71
269,"could be more natural than his asking you again? He could not help","TGzfh",66
270,"""Oh! then--some time or other we shall be happy to hear you. Our","PIG03",64
271,"connections. I never heard of her existence till the day before","8B3RV",63
272,"""I have not the smallest objection to explaining them,"" said he, as soon","gWh3Y",72
273,"","0mIZL",0
274,"Mr. Denny had brought him from London, and that he was to have a","TGzfh",64
275,"""About a month,"" said Elizabeth; and then, unwilling to let the subject","pD0Qu",71
276,"doubtful, so indefinite, that it gives me very little idea. It is as","0mIZL",68
277,"commission in their corps. This was exactly as it should be; for the","5d23N",68
278,"wishes for your health and happiness.""","gWh3Y",38
279,"","0mIZL",0
280,"","Q3Mja",0
281,"""Indeed!"" cried Mr. Wickham with a look which did not escape her. ""And","5d23N",70
282,"","PIG03",0
283,"","0mIZL",0
284,"","gWh3Y",0
285,"and have no design of marrying, do not let us give the matter over as","TGzfh",69
286,"","gWh3Y",0
287,"last hour, she said, as he walked up and down the street, and had Mr.","5d23N",69
288,"They were forced to conclude that he had no pleasing intelligence to","gWh3Y",68
289,"and her uncle had been persuaded that affection and confidence subsisted","5d23N",72
290,"Elizabeth, having rather expected to affront him, was amazed at his","5d23N",67
291,"softened its impropriety of expression.","gWh3Y",39
292,"here with the determined resolution of carrying my purpose; nor will","pD0Qu",68
293,"however, was no evil to Elizabeth, and upon the whole she spent her time","PIG03",72
294,"""It was the prospect of constant society, and good society,"" he added,","5d23N",70
295,"""Are they indeed!"" cried Elizabeth, with the greatest satisfaction.","Q3Mja",67
296,"to inevitable evils is the duty of us all; the peculiar duty of a","PIG03",65
297,"","TGzfh",0
298,"the ground. More thoughtfulness and less anxiety to please, than when","PIG03",69
299,"","yQdWV",0
300,"united with Jane in an endeavour to check the imprudence of Catherine","PIG03",69
301,"","nyEWd",0
302,"""is one of those young ladies who seek to recommend themselves to the","gWh3Y",69
303,"when he has nothing to do.""","gWh3Y",27
304,"should make their appearance at St. James's. The whole family, in short,","0mIZL",72
305,"the first raptures of her joy, than the first vehemence of her","pD0Qu",62
306,"Elizabeth found from her aunt that Pemberley was situated. It was not","pD0Qu",69
307,"sisters soon began to make interest with her for objects of happiness","Q3Mja",69
308,"observe that private balls are much pleasanter than public ones. But","Q3Mja",68
309,"Wickham's attentions. There could be no conversation in the noise","nyEWd",65
310,"which you have been brought up.""","gWh3Y",32
311,"evil.""","PIG03",6
312,"his marriage was fixed on. And I think you will agree with me, in","gWh3Y",65
313,"equal, therefore, to address Mr. Bingley on the subject of the ball, and","nyEWd",72
314,"the five being thus removed, Mrs. Bennet sat looking and winking at","0mIZL",67
315,"set off together. Bingley and Jane, however, soon allowed the others","5d23N",68
316,"","0mIZL",0
317,"is. His father, Miss Bennet, the late Mr. Darcy, was one of the best men","0mIZL",72
318,"not be mistaken for the affectation and coquetry of an elegant female.","PIG03",70
319,"design; for there proved to have been a prior acquaintance between him","8B3RV",70
320,"she soon found some resemblance of Mr. Darcy, she turned her eyes on the","yQdWV",72
321,"was. She longed to know what at the moment was passing in his mind--in","5d23N",70
322,"","Q3Mja",0
323,"","5d23N",0
324,"during your stay at Lambton?""","gWh3Y",29
325,"mother's rapacity for whist players, and in a few moments after seated","8B3RV",70
326,"received and returned these felicitations with equal pleasure, and then","pD0Qu",71
327,"Elizabeth, as she affectionately embraced her, whilst tears filled the","yQdWV",70
328,"","gWh3Y",0
329,"""I cannot be so easily reconciled to myself. The recollection of what I","8B3RV",71
330,"shaken. She is up stairs and will have great satisfaction in seeing you","TGzfh",71
331,"There was another reason too for her opposition. She dreaded seeing Mr.","PIG03",71
332,"interrupted two people in the room who had less to say for themselves.","PIG03",70
333,"","nyEWd",0
334,"","gWh3Y",0
335,"""This was a lucky idea of mine, indeed!"" said Mrs. Bennet more than","8B3RV",67
336,"Yours, etc.""","pD0Qu",12
337,"","TGzfh",0
338,"","Q3Mja",0
339,"","Q3Mja",0
340,"","gWh3Y",0
341,"","0mIZL",0
342,"diversified by little beyond the walks to Meryton, sometimes dirty and","nyEWd",70
343,"Mr. Bingley arrived. Mrs. Bennet, through the assistance of servants,","yQdWV",69
344,"with an air of decided fashion. His brother-in-law, Mr. Hurst, merely","TGzfh",69
345,"integrity or benevolence, that might rescue him from the attacks of","nyEWd",67
346,"anyone. It has been most unconsciously done, however, and I hope will be","0mIZL",72
347,"","0mIZL",0
348,"","PIG03",0
349,"before. One came from her books, and the other from her toilette. The","Q3Mja",69
350,"""I certainly have not the talent which some people possess,"" said Darcy,","yQdWV",72
351,"","pD0Qu",0
352,"and Miss de Bourgh exerted herself so far as to curtsey and hold out her","8B3RV",72
353,"seemed likely, the advice and entreaty of so near a relation might","8B3RV",66
354,"will we begin quarreling about its relative situation. Let _our_","5d23N",64
355,"engaged to my daughter. Now what have you to say?""","gWh3Y",50
356,"therefore, to be importuned no farther on the subject.""","5d23N",55
357,"all Miss Bingley's witticisms on _fine eyes_.","Q3Mja",45
358,"Lizzy marry Mr. Collins, for she vows she will not have him, and if you","5d23N",71
359,"from a conviction that if they saw him depart, they could not fail to","TGzfh",69
360,"up every private care; and covering her face with her handkerchief,","0mIZL",67
361,"Saturday, and to Saturday he meant to stay.","Q3Mja",43
362,"""I never saw anyone so shocked. He could not speak a word for full ten","5d23N",70
363,"""Ah! sir, I do indeed. It is a grievous affair to my poor girls, you","nyEWd",68
364,"such occasions it is the etiquette; but no one was less likely than Mrs.","gWh3Y",72
365,"""Oh! no--it is not for _me_ to be driven away by Mr. Darcy. If _he_","Q3Mja",67
366,"with such forbearance and liberality towards him. And there are other","gWh3Y",69
367,"must have had all his money, you know; and it is the first time we have","yQdWV",71
368,"what do you think she said besides? 'Ah! Mrs. Bennet, we shall have her","nyEWd",71
369,"and elevating passion, I should at present detest his very name, and","PIG03",68
370,"might possibly get a settled family there. But, perhaps, Mr. Bingley did","TGzfh",72
371,"I flatter myself it will not sink me in your esteem. And now nothing","pD0Qu",68
372,"recollection and a returning smile, replied, that he had formerly seen","gWh3Y",70
373,"with a degree of ill-humour which she could not wholly surmount even in","pD0Qu",71
374,"""You cannot be more than twenty, I am sure, therefore you need not","yQdWV",66
375,"","nyEWd",0
376,"","gWh3Y",0
377,"dear aunt,"" she rapturously cried, ""what delight! what felicity! You","gWh3Y",68
378,"trouble of saying as little as possible.""","TGzfh",41
379,"""No indeed; I felt nothing but surprise.""","PIG03",41
380,"no answer.","gWh3Y",10
381,"After walking several miles in a leisurely manner, and too busy to know","TGzfh",71
382,"As we went along, Kitty and I drew up the blinds, and pretended there","5d23N",69
383,"colour and shape, and the eyelashes, so remarkably fine, might be","5d23N",65
384,"being loved by her sister.","5d23N",26
385,"first exclamations of surprise and horror, Mr. Gardiner promised every","5d23N",70
386,"""We are speaking of music, madam,"" said he, when no longer able to avoid","TGzfh",72
387,"","TGzfh",0
388,"and, except in an occasional glance at Elizabeth, requiring no partner","8B3RV",70
389,"what he said of Mr. Darcy's indifference, and she could do nothing but","Q3Mja",70
390,"so herself on Saturday. I shall walk to Meryton to-morrow to hear more","gWh3Y",70
391,"Unfeeling, selfish girl! Do you not consider that a connection with you","8B3RV",71
392,"","yQdWV",0
393,"delight.","Q3Mja",8
394,"","pD0Qu",0
395,"On the very last day of the regiment's remaining at Meryton, he dined,","pD0Qu",70
396,"finished it. ""What a letter is this, to be written at such a moment!","pD0Qu",68
397,"about, if she had not happened to see Mr. Jones's shop-boy in the","PIG03",65
398,"and exclaiming after prizes to have attention for anyone in particular.","yQdWV",71
399,"such a girl to be my nephew's sister? Is her husband, is the son of his","5d23N",71
400,"hastened, to console Lady Catherine and her daughter; and on his return","nyEWd",71
401,"and disinterestedness are really angelic; I do not know what to say","8B3RV",67
402,"all that remained to be shown. In the former were many good paintings;","TGzfh",70
403,"of _coming out_ a year or two sooner than they might otherwise have","5d23N",67
404,"natural modesty, with a stronger dependence on my judgement than on his","0mIZL",71
405,"","5d23N",0
406,"Mrs. Phillips, protesting that he did not in the least regard his losses","8B3RV",72
407,"following, which I can do without any inconvenience, as Lady Catherine","TGzfh",70
408,"who gave Lydia the feelings which would have attended herself, had she","PIG03",70
409,"abundantly increasing with the length of his second speech, and at the","TGzfh",70
410,"","TGzfh",0
411,"Elizabeth could not repress a smile at this, but she answered only by a","8B3RV",71
412,"Darcy, whose reception of his advances she eagerly watched, and whose","gWh3Y",69
413,"acquaintance, that are really accomplished.""","Q3Mja",44
414,"","nyEWd",0
415,"""Do not give way to useless alarm,"" added he; ""though it is right to be","gWh3Y",71
416,"","nyEWd",0
417,"match, which she had feared to encourage as an exertion of goodness too","gWh3Y",71
418,"evening conversation, when they were all assembled, had lost much of","pD0Qu",68
419,"""Oh! yes. Pray read on.""","0mIZL",24
420,"","8B3RV",0
421,"one most reluctant smile. Never had his wit been directed in a manner so","PIG03",72
422,"was impossible for that friend to be tolerably happy in the lot she had","0mIZL",71
423,"at Rosings, had she seen him so desirous to please, so free from","0mIZL",64
424,"Elizabeth could not help observing, as she turned over some music-books","PIG03",71
425,"correspond with his sister? _She_ will not be able to help calling.""","gWh3Y",68
426,"","8B3RV",0
427,"""I have been walking in the grove some time in the hope of meeting you.","8B3RV",71
428,"Jane! I am sorry for her, because, with her disposition, she may not get","5d23N",72
429,"to anybody. People who suffer as I do from nervous complaints can have","yQdWV",70
430,"Jane on their first arrival at Lambton; and this disappointment had been","gWh3Y",72
431,"_Too much_, I am afraid; for what becomes of the moral, if our comfort","Q3Mja",70
432,"I know very well that Mr. Darcy is not in the least to blame, that he","yQdWV",69
433,"but the observation of a very few minutes convinced her that she was","yQdWV",68
434,"Chapter 51","TGzfh",10
435,"","8B3RV",0
436,"Mr. Bingley to _her_.""","pD0Qu",22
437,"","nyEWd",0
438,"anything about it, they found at last, on examining their watches, that","gWh3Y",71
439,"","TGzfh",0
440,"stand up with.""","yQdWV",15
441,"is the usual price of an earl's younger son? Unless the elder brother is","8B3RV",72
442,"single.""","yQdWV",8
443,"scandalous; but I verily believe I could forgive him anything and","5d23N",65
444,"Nothing but concern for Elizabeth could enable Bingley to keep his","PIG03",66
445,"guide, though in the case before us I consider myself more fitted by","PIG03",68
446,"mistress enough of herself to whisper to Elizabeth, with a countenance","Q3Mja",70
447,"there.""","8B3RV",7
448,"","0mIZL",0
449,"With no expectation of pleasure, but with the strongest curiosity,","TGzfh",66
450,"the youngest, I dare say Mr. Bingley will dance with you at the next","8B3RV",68
451,"yet add something more substantial, in the improvement of her mind by","8B3RV",69
452,"","PIG03",0
453,"was so thoughtful.","nyEWd",18
454,"and by that means, as I told Lady Catherine one day, has deprived the","Q3Mja",69
455,"""_Mr. Darcy_, you see, is the man! Now, Lizzy, I think I _have_","5d23N",63
456,"","5d23N",0
457,"the other is Miss de Bourgh. Only look at her. She is quite a little","Q3Mja",68
458,"To Mr. and Mrs. Gardiner he was scarcely a less interesting personage","gWh3Y",69
459,"the dreadful suspicion of his being purposely omitted for Mr. Darcy's","0mIZL",69
460,"contain a renewal of his offers, she had formed no expectation at all of","pD0Qu",72
461,"Mr. Wickham was as far beyond them all in person, countenance, air, and","8B3RV",71
462,"","yQdWV",0
463,"him, but the idea was checked by the awkwardness of the application, and","Q3Mja",72
464,"have been the last object of her wishes.","PIG03",40
465,"which yesterday had produced. But above all, above respect and esteem,","5d23N",70
466,"in love before, her regard had all the warmth of first attachment,","8B3RV",66
467,"to make his fortune. The congratulatory letter which Elizabeth received","8B3RV",71
468,"Elizabeth was soon lost to everything else; and, after a pause of","PIG03",65
469,"","gWh3Y",0
470,"","nyEWd",0
471,"could divide them. He was on one side of her mother. She knew how little","nyEWd",72
472,"library; their father was in neither; and they were on the point of","gWh3Y",67
