"","ID","Sentence"
"39",39,"  A young woman, pretty, lively, with a harp as elegant as herself, and both placed near a window, cut down to the ground, and opening on a little lawn, surrounded by shrubs in the rich foliage of summer, was enough to catch any man's heart"
"40",40," The season, the scene, the air, were all favourable to tenderness and sentiment"
"41",41," Mrs"
"42",42," Grant and her tambour frame were not without their use: it was all in harmony; and as everything will turn to account when love is once set going, even the sandwich tray, and Dr"
"43",43," Grant doing the honours of it, were worth looking at"
"44",44," Without studying the business, however, or knowing what he was about, Edmund was beginning, at the end of a week of such intercourse, to be a good deal in love; and to the credit of the lady it may be added that, without his being a man of the world or an elder brother, without any of the arts of flattery or the gaieties of small talk, he began to be agreeable to her"
"45",45," She felt it to be so, though she had not foreseen, and could hardly understand it; for he was not pleasant by any common rule: he talked no nonsense; he paid no compliments; his opinions were unbending, his attentions tranquil and simple"
"46",46," There was a charm, perhaps, in his sincerity, his steadiness, his integrity, which Miss Crawford might be equal to feel, though not equal to discuss with herself"
"47",47," She did not think very much about it, however: he pleased her for the present; she liked to have him near her; it was enough"
"48",48,"  Fanny could not wonder that Edmund was at the Parsonage every morning; she would gladly have been there too, might she have gone in uninvited and unnoticed, to hear the harp; neither could she wonder that, when the evening stroll was over, and the two families parted again, he should think it right to attend Mrs"
"49",49," Grant and her sister to their home, while Mr"
"50",50," Crawford was devoted to the ladies of the Park; but she thought it a very bad exchange; and if Edmund were not there to mix the wine and water for her, would rather go without it than not"
"51",51," She was a little surprised that he could spend so many hours with Miss Crawford, and not see more of the sort of fault which he had already observed, and of which _she_ was almost always reminded by a something of the same nature whenever she was in her company; but so it was"
"52",52," Edmund was fond of speaking to her of Miss Crawford, but he seemed to think it enough that the Admiral had since been spared; and she scrupled to point out her own remarks to him, lest it should appear like ill-nature"
"53",53," The first actual pain which Miss Crawford occasioned her was the consequence of an inclination to learn to ride, which the former caught, soon after her being settled at Mansfield, from the example of the young ladies at the Park, and which, when Edmund's acquaintance with her increased, led to his encouraging the wish, and the offer of his own quiet mare for the purpose of her first attempts, as the best fitted for a beginner that either stable could furnish"
"54",54," No pain, no injury, however, was designed by him to his cousin in this offer: _she_ was not to lose a day's exercise by it"
"55",55," The mare was only to be taken down to the Parsonage half an hour before her ride were to begin; and Fanny, on its being first proposed, so far from feeling slighted, was almost over-powered with gratitude that he should be asking her leave for it"
"56",56,"  Miss Crawford made her first essay with great credit to herself, and no inconvenience to Fanny"
"57",57," Edmund, who had taken down the mare and presided at the whole, returned with it in excellent time, before either Fanny or the steady old coachman, who always attended her when she rode without her cousins, were ready to set forward"
"58",58," The second day's trial was not so guiltless"
"59",59," Miss Crawford's enjoyment of riding was such that she did not know how to leave off"
"60",60," Active and fearless, and though rather small, strongly made, she seemed formed for a horsewoman; and to the pure genuine pleasure of the exercise, something was probably added in Edmund's attendance and instructions, and something more in the conviction of very much surpassing her sex in general by her early progress, to make her unwilling to dismount"
"61",61," Fanny was ready and waiting, and Mrs"
"62",62," Norris was beginning to scold her for not being gone, and still no horse was announced, no Edmund appeared"
"63",63," To avoid her aunt, and look for him, she went out"
"64",64,"  The houses, though scarcely half a mile apart, were not within sight of each other; but, by walking fifty yards from the hall door, she could look down the park, and command a view of the Parsonage and all its demesnes, gently rising beyond the village road; and in Dr"
"65",65," Grant's meadow she immediately saw the group--Edmund and Miss Crawford both on horse-back, riding side by side, Dr"
"66",66," and Mrs"
"67",67," Grant, and Mr"
"68",68," Crawford, with two or three grooms, standing about and looking on"
"69",69," A happy party it appeared to her, all interested in one object: cheerful beyond a doubt, for the sound of merriment ascended even to her"
"70",70," It was a sound which did not make _her_ cheerful; she wondered that Edmund should forget her, and felt a pang"
"71",71," She could not turn her eyes from the meadow; she could not help watching all that passed"
"72",72," At first Miss Crawford and her companion made the circuit of the field, which was not small, at a foot's pace; then, at _her_ apparent suggestion, they rose into a canter; and to Fanny's timid nature it was most astonishing to see how well she sat"
"73",73," After a few minutes they stopped entirely"
"74",74," Edmund was close to her; he was speaking to her; he was evidently directing her management of the bridle; he had hold of her hand; she saw it, or the imagination supplied what the eye could not reach"
"75",75," She must not wonder at all this; what could be more natural than that Edmund should be making himself useful, and proving his good-nature by any one? She could not but think, indeed, that Mr"
"76",76," Crawford might as well have saved him the trouble; that it would have been particularly proper and becoming in a brother to have done it himself; but Mr"
"77",77," Crawford, with all his boasted good-nature, and all his coachmanship, probably knew nothing of the matter, and had no active kindness in comparison of Edmund"
"78",78," She began to think it rather hard upon the mare to have such double duty; if she were forgotten, the poor mare should be remembered"
"79",79,"  Her feelings for one and the other were soon a little tranquillised by seeing the party in the meadow disperse, and Miss Crawford still on horseback, but attended by Edmund on foot, pass through a gate into the lane, and so into the park, and make towards the spot where she stood"
"80",80," She began then to be afraid of appearing rude and impatient; and walked to meet them with a great anxiety to avoid the suspicion"
"81",81,"  ""My dear Miss Price,"" said Miss Crawford, as soon as she was at all within hearing, ""I am come to make my own apologies for keeping you waiting; but I have nothing in the world to say for myself--I knew it was very late, and that I was behaving extremely ill; and therefore, if you please, you must forgive me"
"82",82," Selfishness must always be forgiven, you know, because there is no hope of a cure"
"83",83,"""  Fanny's answer was extremely civil, and Edmund added his conviction that she could be in no hurry"
"84",84," ""For there is more than time enough for my cousin to ride twice as far as she ever goes,"" said he, ""and you have been promoting her comfort by preventing her from setting off half an hour sooner: clouds are now coming up, and she will not suffer from the heat as she would have done then"
"85",85," I wish _you_ may not be fatigued by so much exercise"
"86",86," I wish you had saved yourself this walk home"
"87",87,"""  ""No part of it fatigues me but getting off this horse, I assure you,"" said she, as she sprang down with his help; ""I am very strong"
"88",88," Nothing ever fatigues me but doing what I do not like"
"89",89," Miss Price, I give way to you with a very bad grace; but I sincerely hope you will have a pleasant ride, and that I may have nothing but good to hear of this dear, delightful, beautiful animal"
"90",90,"""  The old coachman, who had been waiting about with his own horse, now joining them, Fanny was lifted on hers, and they set off across another part of the park; her feelings of discomfort not lightened by seeing, as she looked back, that the others were walking down the hill together to the village; nor did her attendant do her much good by his comments on Miss Crawford's great cleverness as a horse-woman, which he had been watching with an interest almost equal to her own"
"91",91,"  ""It is a pleasure to see a lady with such a good heart for riding!"" said he"
"92",92," ""I never see one sit a horse better"
"93",93," She did not seem to have a thought of fear"
"94",94," Very different from you, miss, when you first began, six years ago come next Easter"
"95",95," Lord bless you! how you did tremble when Sir Thomas first had you put on!""  In the drawing-room Miss Crawford was also celebrated"
"96",96," Her merit in being gifted by Nature with strength and courage was fully appreciated by the Miss Bertrams; her delight in riding was like their own; her early excellence in it was like their own, and they had great pleasure in praising it"
"97",97,"  ""I was sure she would ride well,"" said Julia; ""she has the make for it"
"98",98," Her figure is as neat as her brother's"
"99",99,"""  ""Yes,"" added Maria, ""and her spirits are as good, and she has the same energy of character"
"100",100," I cannot but think that good horsemanship has a great deal to do with the mind"
"101",101,"""  When they parted at night Edmund asked Fanny whether she meant to ride the next day"
"102",102,"  ""No, I do not know--not if you want the mare,"" was her answer"
"103",103,"  ""I do not want her at all for myself,"" said he; ""but whenever you are next inclined to stay at home, I think Miss Crawford would be glad to have her a longer time--for a whole morning, in short"
"104",104," She has a great desire to get as far as Mansfield Common: Mrs"
"105",105," Grant has been telling her of its fine views, and I have no doubt of her being perfectly equal to it"
"106",106," But any morning will do for this"
"107",107," She would be extremely sorry to interfere with you"
"108",108," It would be very wrong if she did"
"109",109," _She_ rides only for pleasure; _you_ for health"
"110",110,"""  ""I shall not ride to-morrow, certainly,"" said Fanny; ""I have been out very often lately, and would rather stay at home"
"111",111," You know I am strong enough now to walk very well"
"112",112,"""  Edmund looked pleased, which must be Fanny's comfort, and the ride to Mansfield Common took place the next morning: the party included all the young people but herself, and was much enjoyed at the time, and doubly enjoyed again in the evening discussion"
"113",113," A successful scheme of this sort generally brings on another; and the having been to Mansfield Common disposed them all for going somewhere else the day after"
"114",114," There were many other views to be shewn; and though the weather was hot, there were shady lanes wherever they wanted to go"
"115",115," A young party is always provided with a shady lane"
"116",116," Four fine mornings successively were spent in this manner, in shewing the Crawfords the country, and doing the honours of its finest spots"
"117",117," Everything answered; it was all gaiety and good-humour, the heat only supplying inconvenience enough to be talked of with pleasure--till the fourth day, when the happiness of one of the party was exceedingly clouded"
"118",118," Miss Bertram was the one"
"119",119," Edmund and Julia were invited to dine at the Parsonage, and _she_ was excluded"
"120",120," It was meant and done by Mrs"
"121",121," Grant, with perfect good-humour, on Mr"
"122",122," Rushworth's account, who was partly expected at the Park that day; but it was felt as a very grievous injury, and her good manners were severely taxed to conceal her vexation and anger till she reached home"
"123",123," As Mr"
"124",124," Rushworth did _not_ come, the injury was increased, and she had not even the relief of shewing her power over him; she could only be sullen to her mother, aunt, and cousin, and throw as great a gloom as possible over their dinner and dessert"
"125",125,"  Between ten and eleven Edmund and Julia walked into the drawing-room, fresh with the evening air, glowing and cheerful, the very reverse of what they found in the three ladies sitting there, for Maria would scarcely raise her eyes from her book, and Lady Bertram was half-asleep; and even Mrs"
"126",126," Norris, discomposed by her niece's ill-humour, and having asked one or two questions about the dinner, which were not immediately attended to, seemed almost determined to say no more"
"127",127," For a few minutes the brother and sister were too eager in their praise of the night and their remarks on the stars, to think beyond themselves; but when the first pause came, Edmund, looking around, said, ""But where is Fanny? Is she gone to bed?""  ""No, not that I know of,"" replied Mrs"
"128",128," Norris; ""she was here a moment ago"
"129",129,"""  Her own gentle voice speaking from the other end of the room, which was a very long one, told them that she was on the sofa"
"130",130," Mrs"
"131",131," Norris began scolding"
"132",132,"  ""That is a very foolish trick, Fanny, to be idling away all the evening upon a sofa"
"133",133," Why cannot you come and sit here, and employ yourself as _we_ do? If you have no work of your own, I can supply you from the poor basket"
"134",134," There is all the new calico, that was bought last week, not touched yet"
"135",135," I am sure I almost broke my back by cutting it out"
"136",136," You should learn to think of other people; and, take my word for it, it is a shocking trick for a young person to be always lolling upon a sofa"
"137",137,"""  Before half this was said, Fanny was returned to her seat at the table, and had taken up her work again; and Julia, who was in high good-humour, from the pleasures of the day, did her the justice of exclaiming, ""I must say, ma'am, that Fanny is as little upon the sofa as anybody in the house"
"138",138,"""  ""Fanny,"" said Edmund, after looking at her attentively, ""I am sure you have the headache"
"139",139,"""  She could not deny it, but said it was not very bad"
"140",140,"  ""I can hardly believe you,"" he replied; ""I know your looks too well"
"141",141," How long have you had it?""  ""Since a little before dinner"
"142",142," It is nothing but the heat"
"143",143,"""  ""Did you go out in the heat?""  ""Go out! to be sure she did,"" said Mrs"
"144",144," Norris: ""would you have her stay within such a fine day as this? Were not we _all_ out? Even your mother was out to-day for above an hour"
"145",145,"""  ""Yes, indeed, Edmund,"" added her ladyship, who had been thoroughly awakened by Mrs"
"146",146," Norris's sharp reprimand to Fanny; ""I was out above an hour"
"147",147," I sat three-quarters of an hour in the flower-garden, while Fanny cut the roses; and very pleasant it was, I assure you, but very hot"
"148",148," It was shady enough in the alcove, but I declare I quite dreaded the coming home again"
"149",149,"""  ""Fanny has been cutting roses, has she?""  ""Yes, and I am afraid they will be the last this year"
"150",150," Poor thing! _She_ found it hot enough; but they were so full-blown that one could not wait"
"151",151,"""  ""There was no help for it, certainly,"" rejoined Mrs"
"152",152," Norris, in a rather softened voice; ""but I question whether her headache might not be caught _then_, sister"
"153",153," There is nothing so likely to give it as standing and stooping in a hot sun; but I dare say it will be well to-morrow"
"154",154," Suppose you let her have your aromatic vinegar; I always forget to have mine filled"
"155",155,"""  ""She has got it,"" said Lady Bertram; ""she has had it ever since she came back from your house the second time"
"156",156,"""  ""What!"" cried Edmund; ""has she been walking as well as cutting roses; walking across the hot park to your house, and doing it twice, ma'am? No wonder her head aches"
"157",157,"""  Mrs"
"158",158," Norris was talking to Julia, and did not hear"
"159",159,"  ""I was afraid it would be too much for her,"" said Lady Bertram; ""but when the roses were gathered, your aunt wished to have them, and then you know they must be taken home"
"160",160,"""  ""But were there roses enough to oblige her to go twice?""  ""No; but they were to be put into the spare room to dry; and, unluckily, Fanny forgot to lock the door of the room and bring away the key, so she was obliged to go again"
"161",161,"""  Edmund got up and walked about the room, saying, ""And could nobody be employed on such an errand but Fanny? Upon my word, ma'am, it has been a very ill-managed business"
"162",162,"""  ""I am sure I do not know how it was to have been done better,"" cried Mrs"
"163",163," Norris, unable to be longer deaf; ""unless I had gone myself, indeed; but I cannot be in two places at once; and I was talking to Mr"
"164",164," Green at that very time about your mother's dairymaid, by _her_ desire, and had promised John Groom to write to Mrs"
"165",165," Jefferies about his son, and the poor fellow was waiting for me half an hour"
"166",166," I think nobody can justly accuse me of sparing myself upon any occasion, but really I cannot do everything at once"
"167",167," And as for Fanny's just stepping down to my house for me--it is not much above a quarter of a mile--I cannot think I was unreasonable to ask it"
"168",168," How often do I pace it three times a day, early and late, ay, and in all weathers too, and say nothing about it?""  ""I wish Fanny had half your strength, ma'am"
"169",169,"""  ""If Fanny would be more regular in her exercise, she would not be knocked up so soon"
"170",170," She has not been out on horseback now this long while, and I am persuaded that, when she does not ride, she ought to walk"
"171",171," If she had been riding before, I should not have asked it of her"
"172",172," But I thought it would rather do her good after being stooping among the roses; for there is nothing so refreshing as a walk after a fatigue of that kind; and though the sun was strong, it was not so very hot"
"173",173," Between ourselves, Edmund,"" nodding significantly at his mother, ""it was cutting the roses, and dawdling about in the flower-garden, that did the mischief"
"174",174,"""  ""I am afraid it was, indeed,"" said the more candid Lady Bertram, who had overheard her; ""I am very much afraid she caught the headache there, for the heat was enough to kill anybody"
"175",175," It was as much as I could bear myself"
"176",176," Sitting and calling to Pug, and trying to keep him from the flower-beds, was almost too much for me"
"177",177,"""  Edmund said no more to either lady; but going quietly to another table, on which the supper-tray yet remained, brought a glass of Madeira to Fanny, and obliged her to drink the greater part"
"178",178," She wished to be able to decline it; but the tears, which a variety of feelings created, made it easier to swallow than to speak"
"179",179,"  Vexed as Edmund was with his mother and aunt, he was still more angry with himself"
"180",180," His own forgetfulness of her was worse than anything which they had done"
"181",181," Nothing of this would have happened had she been properly considered; but she had been left four days together without any choice of companions or exercise, and without any excuse for avoiding whatever her unreasonable aunts might require"
"182",182," He was ashamed to think that for four days together she had not had the power of riding, and very seriously resolved, however unwilling he must be to check a pleasure of Miss Crawford's, that it should never happen again"
"183",183,"  Fanny went to bed with her heart as full as on the first evening of her arrival at the Park"
"184",184," The state of her spirits had probably had its share in her indisposition; for she had been feeling neglected, and been struggling against discontent and envy for some days past"
"185",185," As she leant on the sofa, to which she had retreated that she might not be seen, the pain of her mind had been much beyond that in her head; and the sudden change which Edmund's kindness had then occasioned, made her hardly know how to support herself"
"186",186,"    CHAPTER VIII  Fanny's rides recommenced the very next day; and as it was a pleasant fresh-feeling morning, less hot than the weather had lately been, Edmund trusted that her losses, both of health and pleasure, would be soon made good"
"187",187," While she was gone Mr"
"188",188," Rushworth arrived, escorting his mother, who came to be civil and to shew her civility especially, in urging the execution of the plan for visiting Sotherton, which had been started a fortnight before, and which, in consequence of her subsequent absence from home, had since lain dormant"
"189",189," Mrs"
"190",190," Norris and her nieces were all well pleased with its revival, and an early day was named and agreed to, provided Mr"
"191",191," Crawford should be disengaged: the young ladies did not forget that stipulation, and though Mrs"
"192",192," Norris would willingly have answered for his being so, they would neither authorise the liberty nor run the risk; and at last, on a hint from Miss Bertram, Mr"
"193",193," Rushworth discovered that the properest thing to be done was for him to walk down to the Parsonage directly, and call on Mr"
"194",194," Crawford, and inquire whether Wednesday would suit him or not"
"195",195,"  Before his return Mrs"
"196",196," Grant and Miss Crawford came in"
"197",197," Having been out some time, and taken a different route to the house, they had not met him"
"198",198," Comfortable hopes, however, were given that he would find Mr"
"199",199," Crawford at home"
"200",200," The Sotherton scheme was mentioned of course"
"201",201," It was hardly possible, indeed, that anything else should be talked of, for Mrs"
"202",202," Norris was in high spirits about it; and Mrs"
"203",203," Rushworth, a well-meaning, civil, prosing, pompous woman, who thought nothing of consequence, but as it related to her own and her son's concerns, had not yet given over pressing Lady Bertram to be of the party"
"204",204," Lady Bertram constantly declined it; but her placid manner of refusal made Mrs"
"205",205," Rushworth still think she wished to come, till Mrs"
"206",206," Norris's more numerous words and louder tone convinced her of the truth"
"207",207,"  ""The fatigue would be too much for my sister, a great deal too much, I assure you, my dear Mrs"
"208",208," Rushworth"
"209",209," Ten miles there, and ten back, you know"
"210",210," You must excuse my sister on this occasion, and accept of our two dear girls and myself without her"
"211",211," Sotherton is the only place that could give her a _wish_ to go so far, but it cannot be, indeed"
"212",212," She will have a companion in Fanny Price, you know, so it will all do very well; and as for Edmund, as he is not here to speak for himself, I will answer for his being most happy to join the party"
"213",213," He can go on horseback, you know"
"214",214,"""  Mrs"
"215",215," Rushworth being obliged to yield to Lady Bertram's staying at home, could only be sorry"
"216",216," ""The loss of her ladyship's company would be a great drawback, and she should have been extremely happy to have seen the young lady too, Miss Price, who had never been at Sotherton yet, and it was a pity she should not see the place"
"217",217,"""  ""You are very kind, you are all kindness, my dear madam,"" cried Mrs"
"218",218," Norris; ""but as to Fanny, she will have opportunities in plenty of seeing Sotherton"
"219",219," She has time enough before her; and her going now is quite out of the question"
"220",220," Lady Bertram could not possibly spare her"
"221",221,"""  ""Oh no! I cannot do without Fanny"
"222",222,"""  Mrs"
"223",223," Rushworth proceeded next, under the conviction that everybody must be wanting to see Sotherton, to include Miss Crawford in the invitation; and though Mrs"
"224",224," Grant, who had not been at the trouble of visiting Mrs"
"225",225," Rushworth, on her coming into the neighbourhood, civilly declined it on her own account, she was glad to secure any pleasure for her sister; and Mary, properly pressed and persuaded, was not long in accepting her share of the civility"
"226",226," Mr"
"227",227," Rushworth came back from the Parsonage successful; and Edmund made his appearance just in time to learn what had been settled for Wednesday, to attend Mrs"
"228",228," Rushworth to her carriage, and walk half-way down the park with the two other ladies"
"229",229,"  On his return to the breakfast-room, he found Mrs"
"230",230," Norris trying to make up her mind as to whether Miss Crawford's being of the party were desirable or not, or whether her brother's barouche would not be full without her"
"231",231," The Miss Bertrams laughed at the idea, assuring her that the barouche would hold four perfectly well, independent of the box, on which _one_ might go with him"
"232",232,"  ""But why is it necessary,"" said Edmund, ""that Crawford's carriage, or his _only_, should be employed? Why is no use to be made of my mother's chaise? I could not, when the scheme was first mentioned the other day, understand why a visit from the family were not to be made in the carriage of the family"
"233",233,"""  ""What!"" cried Julia: ""go boxed up three in a postchaise in this weather, when we may have seats in a barouche! No, my dear Edmund, that will not quite do"
"234",234,"""  ""Besides,"" said Maria, ""I know that Mr"
"235",235," Crawford depends upon taking us"
"236",236," After what passed at first, he would claim it as a promise"
"237",237,"""  ""And, my dear Edmund,"" added Mrs"
"238",238," Norris, ""taking out _two_ carriages when _one_ will do, would be trouble for nothing; and, between ourselves, coachman is not very fond of the roads between this and Sotherton: he always complains bitterly of the narrow lanes scratching his carriage, and you know one should not like to have dear Sir Thomas, when he comes home, find all the varnish scratched off"
"239",239,"""  ""That would not be a very handsome reason for using Mr"
"240",240," Crawford's,"" said Maria; ""but the truth is, that Wilcox is a stupid old fellow, and does not know how to drive"
"241",241," I will answer for it that we shall find no inconvenience from narrow roads on Wednesday"
"242",242,"""  ""There is no hardship, I suppose, nothing unpleasant,"" said Edmund, ""in going on the barouche box"
"243",243,"""  ""Unpleasant!"" cried Maria: ""oh dear! I believe it would be generally thought the favourite seat"
"244",244," There can be no comparison as to one's view of the country"
"245",245," Probably Miss Crawford will choose the barouche-box herself"
"246",246,"""  ""There can be no objection, then, to Fanny's going with you; there can be no doubt of your having room for her"
"247",247,"""  ""Fanny!"" repeated Mrs"
"248",248," Norris; ""my dear Edmund, there is no idea of her going with us"
"249",249," She stays with her aunt"
"250",250," I told Mrs"
"251",251," Rushworth so"
"252",252," She is not expected"
"253",253,"""  ""You can have no reason, I imagine, madam,"" said he, addressing his mother, ""for wishing Fanny _not_ to be of the party, but as it relates to yourself, to your own comfort"
"254",254," If you could do without her, you would not wish to keep her at home?""  ""To be sure not, but I _cannot_ do without her"
"255",255,"""  ""You can, if I stay at home with you, as I mean to do"
"256",256,"""  There was a general cry out at this"
"257",257," ""Yes,"" he continued, ""there is no necessity for my going, and I mean to stay at home"
"258",258," Fanny has a great desire to see Sotherton"
"259",259," I know she wishes it very much"
"260",260," She has not often a gratification of the kind, and I am sure, ma'am, you would be glad to give her the pleasure now?""  ""Oh yes! very glad, if your aunt sees no objection"
"261",261,"""  Mrs"
"262",262," Norris was very ready with the only objection which could remain--their having positively assured Mrs"
"263",263," Rushworth that Fanny could not go, and the very strange appearance there would consequently be in taking her, which seemed to her a difficulty quite impossible to be got over"
"264",264," It must have the strangest appearance! It would be something so very unceremonious, so bordering on disrespect for Mrs"
"265",265," Rushworth, whose own manners were such a pattern of good-breeding and attention, that she really did not feel equal to it"
"266",266," Mrs"
"267",267," Norris had no affection for Fanny, and no wish of procuring her pleasure at any time; but her opposition to Edmund _now_, arose more from partiality for her own scheme, because it _was_ her own, than from anything else"
"268",268," She felt that she had arranged everything extremely well, and that any alteration must be for the worse"
"269",269," When Edmund, therefore, told her in reply, as he did when she would give him the hearing, that she need not distress herself on Mrs"
"270",270," Rushworth's account, because he had taken the opportunity, as he walked with her through the hall, of mentioning Miss Price as one who would probably be of the party, and had directly received a very sufficient invitation for his cousin, Mrs"
"271",271," Norris was too much vexed to submit with a very good grace, and would only say, ""Very well, very well, just as you chuse, settle it your own way, I am sure I do not care about it"
"272",272,"""  ""It seems very odd,"" said Maria, ""that you should be staying at home instead of Fanny"
"273",273,"""  ""I am sure she ought to be very much obliged to you,"" added Julia, hastily leaving the room as she spoke, from a consciousness that she ought to offer to stay at home herself"
"274",274,"  ""Fanny will feel quite as grateful as the occasion requires,"" was Edmund's only reply, and the subject dropt"
"275",275,"  Fanny's gratitude, when she heard the plan, was, in fact, much greater than her pleasure"
"276",276," She felt Edmund's kindness with all, and more than all, the sensibility which he, unsuspicious of her fond attachment, could be aware of; but that he should forego any enjoyment on her account gave her pain, and her own satisfaction in seeing Sotherton would be nothing without him"
"277",277,"  The next meeting of the two Mansfield families produced another alteration in the plan, and one that was admitted with general approbation"
"278",278," Mrs"
"279",279," Grant offered herself as companion for the day to Lady Bertram in lieu of her son, and Dr"
"280",280," Grant was to join them at dinner"
"281",281," Lady Bertram was very well pleased to have it so, and the young ladies were in spirits again"
"282",282," Even Edmund was very thankful for an arrangement which restored him to his share of the party; and Mrs"
"283",283," Norris thought it an excellent plan, and had it at her tongue's end, and was on the point of proposing it, when Mrs"
"284",284," Grant spoke"
"285",285,"  Wednesday was fine, and soon after breakfast the barouche arrived, Mr"
"286",286," Crawford driving his sisters; and as everybody was ready, there was nothing to be done but for Mrs"
"287",287," Grant to alight and the others to take their places"
"288",288," The place of all places, the envied seat, the post of honour, was unappropriated"
"289",289," To whose happy lot was it to fall? While each of the Miss Bertrams were meditating how best, and with the most appearance of obliging the others, to secure it, the matter was settled by Mrs"
"290",290," Grant's saying, as she stepped from the carriage, ""As there are five of you, it will be better that one should sit with Henry; and as you were saying lately that you wished you could drive, Julia, I think this will be a good opportunity for you to take a lesson"
"291",291,"""  Happy Julia! Unhappy Maria! The former was on the barouche-box in a moment, the latter took her seat within, in gloom and mortification; and the carriage drove off amid the good wishes of the two remaining ladies, and the barking of Pug in his mistress's arms"
"292",292,"  Their road was through a pleasant country; and Fanny, whose rides had never been extensive, was soon beyond her knowledge, and was very happy in observing all that was new, and admiring all that was pretty"
"293",293," She was not often invited to join in the conversation of the others, nor did she desire it"
"294",294," Her own thoughts and reflections were habitually her best companions; and, in observing the appearance of the country, the bearings of the roads, the difference of soil, the state of the harvest, the cottages, the cattle, the children, she found entertainment that could only have been heightened by having Edmund to speak to of what she felt"
"295",295," That was the only point of resemblance between her and the lady who sat by her: in everything but a value for Edmund, Miss Crawford was very unlike her"
"296",296," She had none of Fanny's delicacy of taste, of mind, of feeling; she saw Nature, inanimate Nature, with little observation; her attention was all for men and women, her talents for the light and lively"
"297",297," In looking back after Edmund, however, when there was any stretch of road behind them, or when he gained on them in ascending a considerable hill, they were united, and a ""there he is"" broke at the same moment from them both, more than once"
"298",298,"  For the first seven miles Miss Bertram had very little real comfort: her prospect always ended in Mr"
"299",299," Crawford and her sister sitting side by side, full of conversation and merriment; and to see only his expressive profile as he turned with a smile to Julia, or to catch the laugh of the other, was a perpetual source of irritation, which her own sense of propriety could but just smooth over"
"300",300," When Julia looked back, it was with a countenance of delight, and whenever she spoke to them, it was in the highest spirits: ""her view of the country was charming, she wished they could all see it,"" etc"
"301",301,"; but her only offer of exchange was addressed to Miss Crawford, as they gained the summit of a long hill, and was not more inviting than this: ""Here is a fine burst of country"
