"","doc_id","token","sentence","Repeats","Affected Columns"
"28","Doc140 Row:140 Col:Text","Bennet","""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do",1,"`Text`"
"29","Doc145 Row:145 Col:Text","Lord","Lord, how ashamed I should be of not",1,"`Text`"
"30","Doc146 Row:146 Col:Text","Elizabeth","Elizabeth to the enjoyment of all her former dislike.",1,"`Text`"
"31","Doc149 Row:149 Col:Text","Lady","sound of Lady Catherine's carriage made her feel how unequal she was to",1,"`Text`"
"32","Doc149 Row:149 Col:Text","Catherine","sound of Lady Catherine's carriage made her feel how unequal she was to",1,"`Text`"
"33","Doc154 Row:154 Col:Text","Miss","Carter do not go so often to Miss Watson's as they did when they first",1,"`Text`"
"34","Doc154 Row:154 Col:Text","Watson","Carter do not go so often to Miss Watson's as they did when they first",1,"`Text`"
"35","Doc157 Row:157 Col:Text","Brighton","It is not quite a week since they left Brighton.",1,"`Text`"
"36","Doc158 Row:158 Col:Text","Lydia","continued, with little intermission, to the very day of Lydia's leaving",1,"`Text`"
"37","Doc164 Row:164 Col:Text","Collins","Collins's side and as many bows on Sir William's they departed.",1,"`Text`"
"38","Doc164 Row:164 Col:Text","Sir","Collins's side and as many bows on Sir William's they departed.",1,"`Text`"
"39","Doc164 Row:164 Col:Text","William","Collins's side and as many bows on Sir William's they departed.",1,"`Text`"
"40","Doc167 Row:167 Col:Text","Longbourn","Every day at Longbourn was now a day of anxiety; but the most anxious",1,"`Text`"
"41","Doc168 Row:168 Col:Text","Mrs.","weeks; and to Mrs. Gardiner it had a peculiarly strong attraction.",1,"`Text`"
"42","Doc168 Row:168 Col:Text","Gardiner","weeks; and to Mrs. Gardiner it had a peculiarly strong attraction.",1,"`Text`"
"43","Doc172 Row:172 Col:Text","Bingley","continued after a pause, on seeing Bingley join the group; ""and I doubt",1,"`Text`"
"44","Doc175 Row:175 Col:Text","Chapter","Chapter 59",1,"`Text`"
"45","Doc185 Row:185 Col:Text","Hertfordshire","regard during my stay in Hertfordshire.",1,"`Text`"
"46","Doc187 Row:187 Col:Text","Jane","Never, since reading Jane's second letter, had she entertained",1,"`Text`"
"47","Doc191 Row:191 Col:Text","Between","Between Elizabeth and Charlotte there was a restraint which kept them",1,"`Text`"
"48","Doc191 Row:191 Col:Text","Elizabeth","Between Elizabeth and Charlotte there was a restraint which kept them",1,"`Text`"
"49","Doc191 Row:191 Col:Text","Charlotte","Between Elizabeth and Charlotte there was a restraint which kept them",1,"`Text`"
"50","Doc192 Row:192 Col:Text","DEAR","""MY DEAR BROTHER,",1,"`Text`"
"51","Doc192 Row:192 Col:Text","BROTHER","""MY DEAR BROTHER,",1,"`Text`"
"52","Doc194 Row:194 Col:Text","Mrs.","two girls had the honour of assisting Mrs. Jenkinson to make up her",1,"`Text`"
"53","Doc194 Row:194 Col:Text","Jenkinson","two girls had the honour of assisting Mrs. Jenkinson to make up her",1,"`Text`"
"54","Doc195 Row:195 Col:Text","Jane","Well, my comfort is, I am sure Jane will",1,"`Text`"
"55","Doc197 Row:197 Col:Text","Lady","prove a valuable acquaintance, especially if Lady Catherine should be so",1,"`Text`"
"56","Doc197 Row:197 Col:Text","Catherine","prove a valuable acquaintance, especially if Lady Catherine should be so",1,"`Text`"
"57","Doc198 Row:198 Col:Text","Darcy","""Come, Darcy,"" said he, ""I must have you dance.",1,"`Text`"
"58","Doc200 Row:200 Col:Text","Wickham","shame at her eloping and living with Wickham a fortnight before they",1,"`Text`"
"59","Doc204 Row:204 Col:Text","While","While",1,"`Text`"
"60","Doc208 Row:208 Col:Text","Elizabeth","each, like Elizabeth, meant to dance half the evening with Mr. Wickham,",1,"`Text`"
"61","Doc208 Row:208 Col:Text","Mr.","each, like Elizabeth, meant to dance half the evening with Mr. Wickham,",1,"`Text`"
"62","Doc208 Row:208 Col:Text","Wickham","each, like Elizabeth, meant to dance half the evening with Mr. Wickham,",1,"`Text`"
"63","Doc21 Row:21 Col:Text","Jane","while he was present, Jane had no attention to bestow on anyone else;",1,"`Text`"
"64","Doc212 Row:212 Col:Text","Elizabeth","of the officers' wives, and Elizabeth continued her walk alone, crossing",1,"`Text`"
"65","Doc214 Row:214 Col:Text","Colonel","""And till Colonel Forster came himself, not one of you entertained a",1,"`Text`"
"66","Doc214 Row:214 Col:Text","Forster","""And till Colonel Forster came himself, not one of you entertained a",1,"`Text`"
"67","Doc215 Row:215 Col:Text","Mr.","They all exclaimed against such terrific ideas; and Mr. Gardiner, after",1,"`Text`"
"68","Doc215 Row:215 Col:Text","Gardiner","They all exclaimed against such terrific ideas; and Mr. Gardiner, after",1,"`Text`"
"69","Doc217 Row:217 Col:Text","Elizabeth","him still more; and Elizabeth was reminded by her own satisfaction in",1,"`Text`"
"70","Doc218 Row:218 Col:Text","Mr.","but allow that Mr. Bingley, when questioned by Jane, had long ago",1,"`Text`"
"71","Doc218 Row:218 Col:Text","Bingley","but allow that Mr. Bingley, when questioned by Jane, had long ago",1,"`Text`"
"72","Doc218 Row:218 Col:Text","Jane","but allow that Mr. Bingley, when questioned by Jane, had long ago",1,"`Text`"
"73","Doc219 Row:219 Col:Text","Elizabeth","And with these words he hastily left the room, and Elizabeth heard him",1,"`Text`"
"74","Doc221 Row:221 Col:Text","Nor","Nor was Darcy's vindication, though",1,"`Text`"
"75","Doc221 Row:221 Col:Text","Darcy","Nor was Darcy's vindication, though",1,"`Text`"
"76","Doc222 Row:222 Col:Text","Darcy","Do not you, Darcy?""",1,"`Text`"
"77","Doc225 Row:225 Col:Text","Elizabeth","Elizabeth, till catching her eye, he withdrew his own and coldly said:",1,"`Text`"
"78","Doc228 Row:228 Col:Text","Mr.","false, you will, I hope, acquit me henceforth of cruelty towards Mr.",1,"`Text`"
"79","Doc235 Row:235 Col:Text","Lady","experienced from Lady Catherine.",1,"`Text`"
"80","Doc235 Row:235 Col:Text","Catherine","experienced from Lady Catherine.",1,"`Text`"
"81","Doc24 Row:24 Col:Text","Mr.","Imprudent as the marriage between Mr. Wickham",1,"`Text`"
"82","Doc24 Row:24 Col:Text","Wickham","Imprudent as the marriage between Mr. Wickham",1,"`Text`"
"83","Doc241 Row:241 Col:Text","Elizabeth","How rejoiced was Elizabeth that their own",1,"`Text`"
"84","Doc247 Row:247 Col:Text","Jane","""Of whom does Jane ever think ill?",1,"`Text`"
"85","Doc249 Row:249 Col:Text","Hertfordshire","Hertfordshire.",1,"`Text`"
"86","Doc249 Row:249 Col:Text","Mrs.","Be assured, my dear sir, that Mrs.",1,"`Text`"
"87","Doc253 Row:253 Col:Text","Darcy","gentleman,"" looking at Darcy, ""seemed to think the country was nothing",1,"`Text`"
"88","Doc262 Row:262 Col:Text","Elizabeth","Elizabeth, however, did not choose",1,"`Text`"
"89","Doc267 Row:267 Col:Text","Single","Single, my dear, to be sure!",1,"`Text`"
"90","Doc268 Row:268 Col:Text","Mrs.","passed off much better than she expected; for Mrs. Bennet luckily stood",1,"`Text`"
"91","Doc268 Row:268 Col:Text","Bennet","passed off much better than she expected; for Mrs. Bennet luckily stood",1,"`Text`"
"92","Doc274 Row:274 Col:Text","Mr.","Mr. Denny had brought him from London, and that he was to have a",1,"`Text`"
"93","Doc274 Row:274 Col:Text","Denny","Mr. Denny had brought him from London, and that he was to have a",1,"`Text`"
"94","Doc274 Row:274 Col:Text","London","Mr. Denny had brought him from London, and that he was to have a",1,"`Text`"
"95","Doc275 Row:275 Col:Text","Elizabeth","""About a month,"" said Elizabeth; and then, unwilling to let the subject",1,"`Text`"
"96","Doc281 Row:281 Col:Text","Mr.","""Indeed!"" cried Mr. Wickham with a look which did not escape her.",1,"`Text`"
"97","Doc281 Row:281 Col:Text","Wickham","""Indeed!"" cried Mr. Wickham with a look which did not escape her.",1,"`Text`"
"98","Doc287 Row:287 Col:Text","Mr.","last hour, she said, as he walked up and down the street, and had Mr.",1,"`Text`"
"99","Doc290 Row:290 Col:Text","Elizabeth","Elizabeth, having rather expected to affront him, was amazed at his",1,"`Text`"
"100","Doc293 Row:293 Col:Text","Elizabeth","however, was no evil to Elizabeth, and upon the whole she spent her time",1,"`Text`"
"101","Doc295 Row:295 Col:Text","Elizabeth","""Are they indeed!"" cried Elizabeth, with the greatest satisfaction.",1,"`Text`"
"102","Doc300 Row:300 Col:Text","Jane","united with Jane in an endeavour to check the imprudence of Catherine",1,"`Text`"
"103","Doc300 Row:300 Col:Text","Catherine","united with Jane in an endeavour to check the imprudence of Catherine",1,"`Text`"
"104","Doc304 Row:304 Col:Text","St.","should make their appearance at St. James's.",1,"`Text`"
"105","Doc304 Row:304 Col:Text","James","should make their appearance at St. James's.",1,"`Text`"
"106","Doc306 Row:306 Col:Text","Elizabeth","Elizabeth found from her aunt that Pemberley was situated.",1,"`Text`"
"107","Doc306 Row:306 Col:Text","Pemberley","Elizabeth found from her aunt that Pemberley was situated.",1,"`Text`"
"108","Doc309 Row:309 Col:Text","Wickham","Wickham's attentions.",1,"`Text`"
"109","Doc31 Row:31 Col:Text","Wickham","Wickham, Georgiana also recovered in time, though not enough to be able",1,"`Text`"
"110","Doc31 Row:31 Col:Text","Georgiana","Wickham, Georgiana also recovered in time, though not enough to be able",1,"`Text`"
"111","Doc313 Row:313 Col:Text","Mr.","equal, therefore, to address Mr. Bingley on the subject of the ball, and",1,"`Text`"
"112","Doc313 Row:313 Col:Text","Bingley","equal, therefore, to address Mr. Bingley on the subject of the ball, and",1,"`Text`"
"113","Doc314 Row:314 Col:Text","Mrs","the five being thus removed, Mrs.",1,"`Text`"
"114","Doc314 Row:314 Col:Text","Bennet","Bennet sat looking and winking at",1,"`Text`"
"115","Doc315 Row:315 Col:Text","Bingley","Bingley and Jane, however, soon allowed the others",1,"`Text`"
"116","Doc315 Row:315 Col:Text","Jane","Bingley and Jane, however, soon allowed the others",1,"`Text`"
"117","Doc317 Row:317 Col:Text","Miss","His father, Miss Bennet, the late Mr. Darcy, was one of the best men",1,"`Text`"
"118","Doc317 Row:317 Col:Text","Bennet","His father, Miss Bennet, the late Mr. Darcy, was one of the best men",1,"`Text`"
"119","Doc317 Row:317 Col:Text","Mr.","His father, Miss Bennet, the late Mr. Darcy, was one of the best men",1,"`Text`"
"120","Doc317 Row:317 Col:Text","Darcy","His father, Miss Bennet, the late Mr. Darcy, was one of the best men",1,"`Text`"
"121","Doc32 Row:32 Col:Text","Mr.","Mr. Bennet and his daughters saw all the advantages of Wickham's removal",1,"`Text`"
"122","Doc32 Row:32 Col:Text","Bennet","Mr. Bennet and his daughters saw all the advantages of Wickham's removal",1,"`Text`"
"123","Doc32 Row:32 Col:Text","Wickham","Mr. Bennet and his daughters saw all the advantages of Wickham's removal",1,"`Text`"
"124","Doc320 Row:320 Col:Text","Mr.","she soon found some resemblance of Mr. Darcy, she turned her eyes on the",1,"`Text`"
"125","Doc320 Row:320 Col:Text","Darcy","she soon found some resemblance of Mr. Darcy, she turned her eyes on the",1,"`Text`"
"126","Doc324 Row:324 Col:Text","Lambton","during your stay at Lambton?""",1,"`Text`"
"127","Doc327 Row:327 Col:Text","Elizabeth","Elizabeth, as she affectionately embraced her, whilst tears filled the",1,"`Text`"
"128","Doc331 Row:331 Col:Text","Mr.","She dreaded seeing Mr.",1,"`Text`"
"129","Doc335 Row:335 Col:Text","Mrs.","""This was a lucky idea of mine, indeed!"" said Mrs. Bennet more than",1,"`Text`"
"130","Doc335 Row:335 Col:Text","Bennet","""This was a lucky idea of mine, indeed!"" said Mrs. Bennet more than",1,"`Text`"
"131","Doc342 Row:342 Col:Text","Meryton","diversified by little beyond the walks to Meryton, sometimes dirty and",1,"`Text`"
"132","Doc343 Row:343 Col:Text","Mr.","Mr. Bingley arrived.",1,"`Text`"
"133","Doc343 Row:343 Col:Text","Bingley","Mr. Bingley arrived.",1,"`Text`"
"134","Doc343 Row:343 Col:Text","Mrs.","Mrs. Bennet, through the assistance of servants,",1,"`Text`"
"135","Doc343 Row:343 Col:Text","Bennet","Mrs. Bennet, through the assistance of servants,",1,"`Text`"
"136","Doc344 Row:344 Col:Text","Mr.","His brother-in-law, Mr. Hurst, merely",1,"`Text`"
"137","Doc344 Row:344 Col:Text","Hurst","His brother-in-law, Mr. Hurst, merely",1,"`Text`"
"138","Doc350 Row:350 Col:Text","Darcy","""I certainly have not the talent which some people possess,"" said Darcy,",1,"`Text`"
"139","Doc352 Row:352 Col:Text","Miss","and Miss de Bourgh exerted herself so far as to curtsey and hold out her",1,"`Text`"
"140","Doc352 Row:352 Col:Text","de","and Miss de Bourgh exerted herself so far as to curtsey and hold out her",1,"`Text`"
"141","Doc352 Row:352 Col:Text","Bourgh","and Miss de Bourgh exerted herself so far as to curtsey and hold out her",1,"`Text`"
"142","Doc357 Row:357 Col:Text","Miss","all Miss Bingley's witticisms on _fine eyes_.",1,"`Text`"
"143","Doc357 Row:357 Col:Text","Bingley","all Miss Bingley's witticisms on _fine eyes_.",1,"`Text`"
"144","Doc358 Row:358 Col:Text","Lizzy","Lizzy marry Mr. Collins, for she vows she will not have him, and if you",1,"`Text`"
"145","Doc358 Row:358 Col:Text","marry","Lizzy marry Mr. Collins, for she vows she will not have him, and if you",1,"`Text`"
"146","Doc358 Row:358 Col:Text","Mr.","Lizzy marry Mr. Collins, for she vows she will not have him, and if you",1,"`Text`"
"147","Doc358 Row:358 Col:Text","Collins","Lizzy marry Mr. Collins, for she vows she will not have him, and if you",1,"`Text`"
"148","Doc361 Row:361 Col:Text","Saturday","Saturday, and to Saturday he meant to stay.",1,"`Text`"
"149","Doc361 Row:361 Col:Text","Saturday","Saturday, and to Saturday he meant to stay.",1,"`Text`"
"150","Doc364 Row:364 Col:Text","Mrs.","such occasions it is the etiquette; but no one was less likely than Mrs.",1,"`Text`"
"151","Doc365 Row:365 Col:Text","Mr.","no--it is not for _me_ to be driven away by Mr. Darcy.",1,"`Text`"
"152","Doc365 Row:365 Col:Text","Darcy","no--it is not for _me_ to be driven away by Mr. Darcy.",1,"`Text`"
"153","Doc368 Row:368 Col:Text","Mrs.","Mrs. Bennet, we shall have her",1,"`Text`"
"154","Doc368 Row:368 Col:Text","Bennet","Mrs. Bennet, we shall have her",1,"`Text`"
"155","Doc37 Row:37 Col:Text","Wickham","my news; it is about dear Wickham; too good for the waiter, is it not?",1,"`Text`"
"156","Doc370 Row:370 Col:Text","Mr.","But, perhaps, Mr. Bingley did",1,"`Text`"
"157","Doc370 Row:370 Col:Text","Bingley","But, perhaps, Mr. Bingley did",1,"`Text`"
"158","Doc382 Row:382 Col:Text","Kitty","As we went along, Kitty and I drew up the blinds, and pretended there",1,"`Text`"
"159","Doc385 Row:385 Col:Text","Mr.","first exclamations of surprise and horror, Mr. Gardiner promised every",1,"`Text`"
"160","Doc385 Row:385 Col:Text","Gardiner","first exclamations of surprise and horror, Mr. Gardiner promised every",1,"`Text`"
"161","Doc388 Row:388 Col:Text","Elizabeth","and, except in an occasional glance at Elizabeth, requiring no partner",1,"`Text`"
"162","Doc389 Row:389 Col:Text","Mr.","what he said of Mr. Darcy's indifference, and she could do nothing but",1,"`Text`"
"163","Doc389 Row:389 Col:Text","Darcy","what he said of Mr. Darcy's indifference, and she could do nothing but",1,"`Text`"
"164","Doc39 Row:39 Col:Text","Sir","Sir William did not say much.",1,"`Text`"
"165","Doc39 Row:39 Col:Text","William","Sir William did not say much.",1,"`Text`"
"166","Doc390 Row:390 Col:Text","Saturday","so herself on Saturday.",1,"`Text`"
"167","Doc390 Row:390 Col:Text","Meryton","I shall walk to Meryton to-morrow to hear more",1,"`Text`"
"168","Doc395 Row:395 Col:Text","Meryton","On the very last day of the regiment's remaining at Meryton, he dined,",1,"`Text`"
"169","Doc397 Row:397 Col:Text","Mr.","about, if she had not happened to see Mr. Jones's shop-boy in the",1,"`Text`"
"170","Doc397 Row:397 Col:Text","Jones","about, if she had not happened to see Mr. Jones's shop-boy in the",1,"`Text`"
"171","Doc40 Row:40 Col:Text","Elizabeth","Elizabeth",1,"`Text`"
"172","Doc400 Row:400 Col:Text","Lady","hastened, to console Lady Catherine and her daughter; and on his return",1,"`Text`"
"173","Doc400 Row:400 Col:Text","Catherine","hastened, to console Lady Catherine and her daughter; and on his return",1,"`Text`"
"174","Doc406 Row:406 Col:Text","Mrs","Mrs. Phillips, protesting that he did not in the least regard his losses",1,"`Text`"
"175","Doc406 Row:406 Col:Text","Phillips","Mrs. Phillips, protesting that he did not in the least regard his losses",1,"`Text`"
"176","Doc407 Row:407 Col:Text","Lady","following, which I can do without any inconvenience, as Lady Catherine",1,"`Text`"
"177","Doc407 Row:407 Col:Text","Catherine","following, which I can do without any inconvenience, as Lady Catherine",1,"`Text`"
"178","Doc411 Row:411 Col:Text","Elizabeth","Elizabeth could not repress a smile at this, but she answered only by a",1,"`Text`"
"179","Doc423 Row:423 Col:Text","Rosings","at Rosings, had she seen him so desirous to please, so free from",1,"`Text`"
"180","Doc424 Row:424 Col:Text","Elizabeth","Elizabeth could not help observing, as she turned over some music-books",1,"`Text`"
"181","Doc428 Row:428 Col:Text","Jane","Jane!",1,"`Text`"
"182","Doc43 Row:43 Col:Text","Elizabeth","Elizabeth's mind was too full for conversation, but she saw and admired",1,"`Text`"
"183","Doc430 Row:430 Col:Text","Jane","Jane on their first arrival at Lambton; and this disappointment had been",1,"`Text`"
"184","Doc430 Row:430 Col:Text","Lambton","Jane on their first arrival at Lambton; and this disappointment had been",1,"`Text`"
"185","Doc432 Row:432 Col:Text","Mr.","I know very well that Mr. Darcy is not in the least to blame, that he",1,"`Text`"
"186","Doc432 Row:432 Col:Text","Darcy","I know very well that Mr. Darcy is not in the least to blame, that he",1,"`Text`"
"187","Doc436 Row:436 Col:Text","Mr.","Mr. Bingley to _her_.""",1,"`Text`"
"188","Doc436 Row:436 Col:Text","Bingley","Mr. Bingley to _her_.""",1,"`Text`"
"189","Doc444 Row:444 Col:Text","Elizabeth","Nothing but concern for Elizabeth could enable Bingley to keep his",1,"`Text`"
"190","Doc444 Row:444 Col:Text","Bingley","Nothing but concern for Elizabeth could enable Bingley to keep his",1,"`Text`"
"191","Doc446 Row:446 Col:Text","Elizabeth","mistress enough of herself to whisper to Elizabeth, with a countenance",1,"`Text`"
"192","Doc450 Row:450 Col:Text","Mr.","the youngest, I dare say Mr. Bingley will dance with you at the next",1,"`Text`"
"193","Doc450 Row:450 Col:Text","Bingley","the youngest, I dare say Mr. Bingley will dance with you at the next",1,"`Text`"
"194","Doc454 Row:454 Col:Text","Lady","and by that means, as I told Lady Catherine one day, has deprived the",1,"`Text`"
"195","Doc454 Row:454 Col:Text","Catherine","and by that means, as I told Lady Catherine one day, has deprived the",1,"`Text`"
"196","Doc455 Row:455 Col:Text","Mr.","""_Mr. Darcy_, you see, is the man!",1,"`Text`"
"197","Doc455 Row:455 Col:Text","Darcy","""_Mr. Darcy_, you see, is the man!",1,"`Text`"
"198","Doc457 Row:457 Col:Text","Miss","the other is Miss de Bourgh.",1,"`Text`"
"199","Doc457 Row:457 Col:Text","de","the other is Miss de Bourgh.",1,"`Text`"
"200","Doc457 Row:457 Col:Text","Bourgh","the other is Miss de Bourgh.",1,"`Text`"
"201","Doc458 Row:458 Col:Text","Mr.","To Mr. and Mrs. Gardiner he was scarcely a less interesting personage",1,"`Text`"
"202","Doc458 Row:458 Col:Text","Mrs.","To Mr. and Mrs. Gardiner he was scarcely a less interesting personage",1,"`Text`"
"203","Doc458 Row:458 Col:Text","Gardiner","To Mr. and Mrs. Gardiner he was scarcely a less interesting personage",1,"`Text`"
"204","Doc459 Row:459 Col:Text","Mr.","the dreadful suspicion of his being purposely omitted for Mr. Darcy's",1,"`Text`"
"205","Doc459 Row:459 Col:Text","Darcy","the dreadful suspicion of his being purposely omitted for Mr. Darcy's",1,"`Text`"
"206","Doc46 Row:46 Col:Text","Elizabeth","Elizabeth would wonder,",1,"`Text`"
"207","Doc461 Row:461 Col:Text","Mr.","Mr. Wickham was as far beyond them all in person, countenance, air, and",1,"`Text`"
"208","Doc461 Row:461 Col:Text","Wickham","Mr. Wickham was as far beyond them all in person, countenance, air, and",1,"`Text`"
"209","Doc467 Row:467 Col:Text","Elizabeth","The congratulatory letter which Elizabeth received",1,"`Text`"
"210","Doc468 Row:468 Col:Text","Elizabeth","Elizabeth was soon lost to everything else; and, after a pause of",1,"`Text`"
"211","Doc475 Row:475 Col:Text","Darcy","Darcy was not of a disposition in which happiness overflows in mirth;",1,"`Text`"
"212","Doc476 Row:476 Col:Text","Chapter","Chapter 53",1,"`Text`"
"213","Doc477 Row:477 Col:Text","Mr.","reflection, and she sat in misery till Mr. Darcy appeared again, when,",1,"`Text`"
"214","Doc477 Row:477 Col:Text","Darcy","reflection, and she sat in misery till Mr. Darcy appeared again, when,",1,"`Text`"
"215","Doc478 Row:478 Col:Text","Longbourn","Longbourn House.",1,"`Text`"
"216","Doc478 Row:478 Col:Text","House","Longbourn House.",1,"`Text`"
"217","Doc478 Row:478 Col:Text","Elizabeth","Elizabeth tried to be diverted by them; but all sense",1,"`Text`"
"218","Doc480 Row:480 Col:Text","Jane","in the course of Jane and Elizabeth's correspondence with her, made her",1,"`Text`"
"219","Doc480 Row:480 Col:Text","Elizabeth","in the course of Jane and Elizabeth's correspondence with her, made her",1,"`Text`"
"220","Doc482 Row:482 Col:Text","Wickham","Wickham again, and was resolved to avoid it as long as possible.",1,"`Text`"
"221","Doc483 Row:483 Col:Text","Mr.","Mr. Collins returned, the gentlemen accompanied him.",1,"`Text`"
"222","Doc483 Row:483 Col:Text","Collins","Mr. Collins returned, the gentlemen accompanied him.",1,"`Text`"
"223","Doc483 Row:483 Col:Text","Charlotte","Charlotte had seen",1,"`Text`"
"224","Doc491 Row:491 Col:Text","Mr.","Mr. Hurst and Mr. Bingley were at piquet, and",1,"`Text`"
"225","Doc491 Row:491 Col:Text","Hurst","Mr. Hurst and Mr. Bingley were at piquet, and",1,"`Text`"
"226","Doc491 Row:491 Col:Text","Mr.","Mr. Hurst and Mr. Bingley were at piquet, and",1,"`Text`"
"227","Doc491 Row:491 Col:Text","Bingley","Mr. Hurst and Mr. Bingley were at piquet, and",1,"`Text`"
"228","Doc493 Row:493 Col:Text","Darcy","""His misfortunes!"" repeated Darcy contemptuously; ""yes, his misfortunes",1,"`Text`"
"229","Doc494 Row:494 Col:Text","Lady","I knew nothing at all of Lady Catherine's",1,"`Text`"
"230","Doc494 Row:494 Col:Text","Catherine","I knew nothing at all of Lady Catherine's",1,"`Text`"
"231","Doc496 Row:496 Col:Text","Till","Till",1,"`Text`"
"232","Doc496 Row:496 Col:Text","Kent","I was in Kent, and saw",1,"`Text`"
"233","Doc498 Row:498 Col:Text","Mr.","very much surprised--so lately as Mr. Collins was wishing to marry",1,"`Text`"
"234","Doc498 Row:498 Col:Text","Collins","very much surprised--so lately as Mr. Collins was wishing to marry",1,"`Text`"
"235","Doc500 Row:500 Col:Text","Jane","all for Jane's sake, you know; and there is no occasion for talking",1,"`Text`"
"236","Doc503 Row:503 Col:Text","Elizabeth","meaning?""--and asked Elizabeth whether she could at all understand him?",1,"`Text`"
"237","Doc504 Row:504 Col:Text","Mrs","Mrs.",1,"`Text`"
"238","Doc504 Row:504 Col:Text","Bennet","Bennet was really in a most pitiable state.",1,"`Text`"
"239","Doc509 Row:509 Col:Text","Mrs.","She shared in their attendance on Mrs. Bennet, and was a",1,"`Text`"
"240","Doc509 Row:509 Col:Text","Bennet","She shared in their attendance on Mrs. Bennet, and was a",1,"`Text`"
"241","Doc511 Row:511 Col:Text","Mr.","I dare say Mr. Bingley will be very",1,"`Text`"
"242","Doc511 Row:511 Col:Text","Bingley","I dare say Mr. Bingley will be very",1,"`Text`"
"243","Doc512 Row:512 Col:Text","Kitty","Kitty stared at",1,"`Text`"
"244","Doc516 Row:516 Col:Text","Mr.","Mr. Robinson's asking him how he liked our Meryton",1,"`Text`"
"245","Doc516 Row:516 Col:Text","Robinson","Mr. Robinson's asking him how he liked our Meryton",1,"`Text`"
"246","Doc516 Row:516 Col:Text","Meryton","Mr. Robinson's asking him how he liked our Meryton",1,"`Text`"
"247","Doc517 Row:517 Col:Text","Jane","Anxiety on Jane's behalf was another prevailing concern; and Mr. Darcy's",1,"`Text`"
"248","Doc517 Row:517 Col:Text","Mr.","Anxiety on Jane's behalf was another prevailing concern; and Mr. Darcy's",1,"`Text`"
"249","Doc517 Row:517 Col:Text","Darcy","Anxiety on Jane's behalf was another prevailing concern; and Mr. Darcy's",1,"`Text`"
"250","Doc518 Row:518 Col:Text","Lady","destined by Lady Catherine, who talked of his coming with the greatest",1,"`Text`"
"251","Doc518 Row:518 Col:Text","Catherine","destined by Lady Catherine, who talked of his coming with the greatest",1,"`Text`"
"252","Doc521 Row:521 Col:Text","Kitty","""Kitty and I are going up stairs to sit in",1,"`Text`"
